Supplier name 1,Supplier name 2,Similarity score
ENTERPRISE AUTOVERMIETUNG - HAMBURG,ENTERPRISE AUTOVERMIETUNG GMBH,89
ENTERPRISE AUTOVERMIETUNG - HAMBURG,ENTERPRISE AUTOVERMIETUNG,86
ST S.R.L.,XT S.R.L.,88
ST S.R.L.,STAFF S.R.L.,84
ST S.R.L.,S.A.R.T,80
CITY OF SUNDERLAND COLLEGE,CITY OF SUNDERLAND,82
SOFTWARE SPECTRUM GMBH,SOFTWARE SPECTRUM INC.,84
SOFTWARE SPECTRUM GMBH,SRS SOFTWARE GMBH,82
SOCIETA'ITALIANA DEGLI AUTORI ED ED,SOCIETA' IT.DEGLI AUTORI ED EDITORI,84
MARRIOTT HOTEL,MARITIM HOTEL,81
MARRIOTT HOTEL,LISBON MARRIOTT HOTEL,80
BEST COMPANY,BOAT & COMPANY,83
DAUBNEY SERVICES LIMITED,JMU SERVICES LIMITED,82
MONDOFFICE SRL,D'OFFICE SPRL,81
NANI'S CATERING,NANI'S CATERERS,80
"EISENFUEHR, SPEISER & PARTNER",EISENFUHR SPEISER AND PARTNER,91
AIG EUROPE,ACE EUROPE,80
BUSINESS GAS,IKEA BUSINESS,80
HAHN AUTOMOBILE GMBH & CO.,CENTRO AUTOMOBILE GMBH,80
PRIME ASSOCIATES (1995) LIMITED,PTR ASSOCIATES LIMITED,82
CC - CIRCLE CULTURE,CIRCLECULTURE,87
NYS METAALBEDRIJF NV,NYS MONTAGEBEDRIJF NV,83
UPS LTD,VPS LTD,86
STUDIO FOTO 21,STUDIO FOTO 21.,100
ATONCE,@ONCE,80
BAZ GMBH,AMZ GMBH,88
EUROSPORT,METRO SPORT,80
"INSTRONIC 2000, S.L.","INSTRONIC 2000,S.L",100
ZPRESS SPORT MEDIA,WP SPORT MEDIA,81
STEHLIN ET ASSOCIES,STEHLIN AND ASSOCIES.,82
HOTEL BERLIN,BRIT HOTEL,82
NEWPORT HOTEL & RESIDENTIAL SUITES,NEWPORT HOTEL EN RESIDENTIAL SUITES,96
CONDOR DIGITAL MEDIA GMBH,DIGITAL MEDIA GMBH,84
MATEC GMBH,VITEC GMBH,80
SATIS&FY,SATIS & FY,100
HOBERMANN GMBH,HOFMANN GMBH,85
TANGO DESIGN LTD,TANGO DESIGN LIMITED,89
ROMEDIA,AROMEDIA,93
INTERDEAN INTERNATIONAL MOVERS,ATLAS INTERNATIONAL MOVERS,82
NDI MOMENTUM LIMITED,PDP MONMENTUM LIMITED,88
INTERNATIONAL SCHOOL WIESBADEN,INTERNATIONAL SCHOOL SERVICES,81
REED BUSINESS INFORMATION BV,REED BUSINESS INFORMATION S.P.A.,85
ATELLA LIMITED,ARESA LIMITED,81
G.E.L. SHOPFITTERS,P & A SHOPFITTERS,81
IM.TECH SAS DI SERMASI GIUSEPPE & C,IM.TECH S.A.S. DI SERMASI GIUSEPPE,94
STAFF S.R.L.,ST S.R.L.,84
PEST PRO ENVIROMENTAL SERVICES,RMG ENVIROMENTAL SERVICES,84
BEST WESTERN GRAND HOTEL GOOILAND,GRAND HOTEL & THEATER GOOILAND,82
FIEGE GOTH,FIEGE GOTH AG,87
FIEGE GOTH,FIEGE GOTH NV,87
"BUMA, VERENIGING",BUMA VERENIGING,100
HTS DEUTSCHLAND GMBH,STAPLES DEUTSCHLAND GMBH,86
HTS DEUTSCHLAND GMBH,UUNET DEUTSCHLAND GMBH,86
HTS DEUTSCHLAND GMBH,IBM  DEUTSCHLAND GMBH,85
HTS DEUTSCHLAND GMBH,IKEA DEUTSCHLAND GMBH,83
HOTEL CARLTON,ART HOTEL,82
